text,emotion,field
I am so frustrated with macroeconomics. Nothing is working the way it should.,Frustrated,Business
Learning about perception thresholds feels like watching paint dry. Zero excitement.,Bored,Psychology
Can we apply Cold War diplomacy concepts to solve this other problem?,Curious,History
I don't get the relationship between these variables in behavior modification.,Confused,Psychology
How do researchers solve the open problems in multithreading?,Curious,Computer Science
This lecture on thematic analysis was fascinating! Where can I read more about it?,Curious,Literature
The test on perception thresholds was a breeze. I got a perfect score!,Confident,Psychology
I've been trying to solve this fluid mechanics bug for hours and it's still failing!,Frustrated,Engineering
I'm making great progress in political revolutions. It's all clicking so fast.,Confident,History
Why does structural load calculations behave this way? It seems very counterintuitive.,Confused,Engineering
I don't understand the difference between these two algorithms in enzyme kinetics.,Confused,Chemistry
I am stuck on this Cold War diplomacy question. The instructions are very unclear.,Confused,History
Can we apply Schrodinger equation concepts to solve this other problem?,Curious,Physics
How does organizational behavior scale to real-world datasets? I'd love to know more.,Curious,Business
Implementing microeconomic models was straightforward. I knew exactly what to do.,Confident,Business
I find memory retrieval incredibly tedious. It is just rote repetition.,Bored,Psychology
I feel confident about my grasp of French Revolution ahead of the midterm.,Confident,History
I'm making great progress in financial accounting. It's all clicking so fast.,Confident,Business
Why does economic depressions behave this way? It seems very counterintuitive.,Confused,History
What is the mathematical connection between microeconomic models and other fields?,Curious,Business
This assignment on Schrodinger equation was simple. I finished it in ten minutes.,Confident,Physics
Why does redox reactions behave this way? It seems very counterintuitive.,Confused,Chemistry
What is the mathematical connection between military strategies and other fields?,Curious,History
I feel completely ready to explain pointer references to anyone who is struggling.,Confident,Computer Science
I've been listening to this talk on classical conditioning for an hour and nothing is happening.,Bored,Psychology
Can we apply mitosis and meiosis concepts to solve this other problem?,Curious,Biology
I'm really struggling to grasp the core concept of thermodynamic laws.,Confused,Physics
I'm completely lost on memory retrieval. Can someone explain it in simple terms?,Confused,Psychology
I feel confident about my grasp of circuit diagrams ahead of the midterm.,Confident,Physics
The lecture on literary analysis went way too fast. I have no idea what's going on.,Confused,Literature
This symbolism assignment is a nightmare. It is way too hard.,Frustrated,Literature
I feel completely ready to explain mitosis and meiosis to anyone who is struggling.,Confident,Biology
The professor's slides on historical contexts are just walls of text. So uninteresting.,Bored,Literature
I've spent the whole weekend on literary analysis and made absolutely zero progress.,Frustrated,Literature
I feel confident about my grasp of portfolio optimization ahead of the midterm.,Confident,Business
Another lecture on developmental stages? I'd rather do anything else right now.,Bored,Psychology
I'm really struggling to grasp the core concept of rhetorical devices.,Confused,Literature
This error message in action potentials is completely useless. I am stuck.,Frustrated,Biology
The test on poetic meters was a breeze. I got a perfect score!,Confident,Literature
The lecture on matrix multiplication went way too fast. I have no idea what's going on.,Confused,Mathematics
Can we apply behavior modification concepts to solve this other problem?,Curious,Psychology
